Source,Target
miraflores,tranquilidad
manabi,cercania
calle 15 de junio via a santa ana,compania
calle 15 de junio via a santa ana,familia
san eduardo y vicente macias,moveria
"el guasmo ",tranquila
calle guaina capa,relacion
calle guaina capa,social
calle guaina capa,ambiente
ciudadela la paz,cerca
ciudadela la paz,trabajo
"calle san ramon, sector la mocora de colon",seguridad
"calle san ramon, sector la mocora de colon",buenos
"calle san ramon, sector la mocora de colon",vecinos
san felipe,sector
san felipe,acogedor
san felipe,tranquilo
ciudadela las orquidias,familia
av del ejercito,familia
av del ejercito,cercana
"av. jose maria urbina, la libertad",seguridad
"av. jose maria urbina, la libertad",barrio
cayambe,seguridad
barrio negrital entrada a miraflores,tranquilidad
barrio negrital entrada a miraflores,seguridad
barrio negrital entrada a miraflores,zona
barrio negrital entrada a miraflores,desarrollo
ciudadela  velez,cercania
ciudadela  velez,familia
"el porvenir ",seguridad
cdla. california  calle 26 de septiembre,vecindario
centro,zona
centro,aqui
centro,es.buena
centro,cercania
centro,escuela
centro,hijos
centro,buen
centro,sector
centro,comercio
centro,familia
condominio alta vista calle las palmas,tranquilidad
condominio alta vista calle las palmas,seguro
condominio alta vista calle las palmas,areas
condominio alta vista calle las palmas,verdes
charapoto- santa marianita,familia
ciudadela los ceibos,cerca
ciudadela los ceibos,centro
ciudadela los ceibos,ciudad
floron,familia
floron,lugar
floron,vivir
colon,escuela
colon,cerca
colon,tranquilidad
crucita- calle principal,buen
crucita- calle principal,ambiente
crucita- calle principal,barrio
crucita- calle principal,seguro
calle america y av. ejercito,toda
calle america y av. ejercito,vida
calle america y av. ejercito,vivido
calle america y av. ejercito,alli
las orquideas,costumbre
las orquideas,aun
las orquideas,asi
las orquideas,haria
las orquideas,tranquilidad
las orquideas,gusta
las orquideas,sector
las orquideas,comodidad
las orquideas,traquilidad
ciudadela san jorge,tranquilo
parque chino,conozco
parque chino,sector
"av. universitaria ",tranquilidad
andres de vera floron,tranquilo
crucita calle principal sindicato de choferes,familia
por la ciudadela libertad cerca del ediasa,recuerdos
mapasingue,inseguridad
andres de vera,familiar
andres de vera,lugar
andres de vera,desarrolle
andres de vera,vida
andres de vera,urbana
andres de vera,cambiaria
andres de vera,cercania
andres de vera,lugares
andres de vera,terminal
andres de vera,terrestre
andres de vera,tranquilidad
andres de vera,cercano
andres de vera,tiendas
andres de vera,hospital
andres de vera,etc
andres de vera,acceso
andres de vera,diferentes
andres de vera,puntos
andres de vera,comerciales
andres de vera,vivo
andres de vera,madre
andres de vera,zona
andres de vera,tranquila
andres de vera,cerca
andres de vera,familia
andres de vera,trabajo
andres de vera,estabilidad
andres de vera,dejar
andres de vera,casa
andres de vera,costumbre
"guillermo loor ",familia
barrio san pablo,familia
barrio san pablo,ninguno
tenis club,zona
tenis club,centrica
tenis club,portoviejo
barrio,tener
barrio,ir
ramos iduarte - san pablo,seguridad
calle quito,buen
calle quito,sector
ciudadela municipal,familia
ciudadela municipal,cerca
ciudadela municipal,sector
los mangos,padres
los mangos,tranquilo
los mangos,seguro
"15 de abril, andres de vera",tranquilo
"picoaza ",vivo
